Price
174350
187250
171850
179550
187250
187250
195900
239300
251950
338200
259350
74000
77000
76500
73900
66000
100000
56000
137000
88000
83000
148000
148000
120000
120000
125000
97000
63000
68000
84000
84000
93000
""
""
""
""
17600
24200
71280
110000
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
